static.guid,static.age,static.ageRiskMultiplier,static.comorbidity,static.comorbidityRiskMultiplier,static.socialActivity,static.socialActivityRiskMultiplier,static.geography,static.geographyRiskMultiplier,static.mobility,static.mobilityRiskMultiplier,static.vaccineAcceptance,static.vaccineAcceptanceRiskMultiplier,dynamic.vaccineStatus,dynamic.proactiveVaccine,dynamic.numberOfInfections,dynamic.sirvStatus,dynamic.infectedDays,dynamic.vaccinatedDays,dynamic.recoveredDays,dynamic.currentLocation.xcor,dynamic.currentLocation.ycor
dc2b5966-4313-4a89-b027-543266bd96f6,18-49,1.0,False,1.0,low,0.75,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,331.72821044921875,972.8468704223633
09a8f04d-6aae-487d-96c1-3d5392210b29,18-49,1.0,True,1.25,medium,1.0,rural,1.0,independent,1.0,False,1.0,False,False,0,S,0,0,0,509.88189697265625,666.1056222915649
6ec46a94-b925-4bbb-8d7f-0bafb048424e,18-49,1.0,True,1.25,medium,1.0,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,382.6486358642578,225.65491485595703
ef4ff62b-100d-44ca-ad3a-5591fcfa623b,50-64,1.0,True,1.25,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,644.8450317382812,874.5611090660095
525a278e-52f3-49f9-b66f-3f7ee25c5cdb,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,773.3218592107296,709.2260284423828
fbbd9a85-0e66-4959-9638-74b93cca597b,50-64,1.0,False,1.0,low,0.75,urban,1.25,assisted,1.0,False,1.0,False,False,0,S,0,0,0,225.76206970214844,636.590518951416
b8a1380e-5192-4ca6-ae78-1ef2f3ba0509,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,823.2021331787109,419.9275484085083
a06f9c52-5ce2-4f53-ab3c-d4f4a0b9e50c,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,908.1978554725647,301.56825256347656
6ad57e8d-9030-42b8-abef-779458314b17,0-17,0.75,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,979.1553039550781,377.3201217651367
67d1d125-6fc8-46d6-bba6-04a9d02a0ff0,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,938.2544888556004,861.1456489562988
254cd6ac-a062-4f86-917e-cc130d8b1cc5,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,748.5265216827393,878.713062286377
677acc09-15d4-4b06-8906-6231b5d32b83,18-49,1.0,True,1.25,low,0.75,urban,1.25,assisted,1.0,True,0.75,False,False,0,S,0,0,0,389.64758682250977,390.4826202392578
f2f50485-7e1e-4475-8392-15659db01934,50-64,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,295.8631591796875,145.1238250732422
3c8dba4b-1332-4803-86bb-d8753d72ef0f,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,892.4017562866211,680.4461631774902
4aa24f41-ffc2-48ed-b060-4aa0b4b4d711,0-17,0.75,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,850.6105995178223,164.9138936623931
3f97d6d1-8e3f-49dc-b67c-12bb1c6386ee,0-17,0.75,True,1.25,low,0.75,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,586.0307312011719,754.967170715332
90d3e5ee-2339-4a06-93e2-098c8c1d20e6,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,858.2773742675781,639.2337684631348
a003f9ed-d734-49a0-8deb-ce2ea6dd0038,50-64,1.0,True,1.25,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,872.4873199462891,814.1438426971436
a3be767f-6773-4fe0-bb94-d3fa39def3d5,18-49,1.0,False,1.0,high,1.25,urban,1.25,assisted,1.0,False,1.0,False,False,0,S,0,0,0,229.38583374023438,905.760498046875
4bfd8d0f-b3d1-417a-8b3a-95895be99a56,0-17,0.75,False,1.0,high,1.25,urban,1.25,assisted,1.0,True,0.75,False,False,0,S,0,0,0,281.680419921875,713.62646484375
090e1c8e-9829-4278-ae07-905c9d6f71eb,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,998.2068481445312,885.4013977050781
c81abef2-9b48-47fd-8e99-3704ee6e0635,65+,1.25,True,1.25,medium,1.0,urban,1.25,independent,1.0,False,1.0,False,False,0,S,0,0,0,99.48553848266602,655.1261405944824
63957b7e-2805-42ed-848e-1333c60764c0,50-64,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,5.56622314453125,232.82172393798828
04b692ab-bbb8-4796-a6b7-628a3b384c9b,65+,1.25,False,1.0,high,1.25,urban,1.25,assisted,1.0,True,0.75,False,False,0,S,0,0,0,982.8472442626953,289.6101531982422
fd7239fe-17fe-4d93-b001-267302f83585,18-49,1.0,True,1.25,low,0.75,urban,1.25,independent,1.0,False,1.0,False,False,0,S,0,0,0,573.7537727355957,206.4358913898468
c3a95a07-4072-4aed-a1f8-4c128a6c56f7,50-64,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,456.66380310058594,374.4076499938965
e99cbb12-5363-4216-8a83-41c649e08cdd,0-17,0.75,True,1.25,medium,1.0,rural,1.0,immobile,0.75,True,0.75,False,False,0,S,0,0,0,268.4103469848633,590.1321868896484
5ec7fb2e-f94e-4065-9437-f5b584fd0fb4,50-64,1.0,False,1.0,medium,1.0,urban,1.25,assisted,1.0,False,1.0,False,False,0,S,0,0,0,522.0106601715088,65.52137756347656
17f4ef75-2227-4a95-a615-05095cb4f92c,50-64,1.0,False,1.0,low,0.75,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,386.31388092041016,439.27966594696045
6a4d0fe3-d681-4aa1-8f34-a82f57e076d6,0-17,0.75,False,1.0,high,1.25,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,762.7894973754883,384.26456451416016
3d64ec3b-ce39-4235-9991-09ba952f0340,0-17,0.75,True,1.25,high,1.25,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,406.69827795028687,947.9150161743164
40973350-d977-4642-bb05-c851a076bf9d,65+,1.25,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,96.07557678222656,953.869607925415
73ef3fb4-b6fa-4efc-86fd-7ce31387a259,50-64,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,954.5316867828369,283.90081787109375
5c9f2ae1-2094-4fd3-a367-2c874abb21ed,50-64,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,512.6147308349609,963.8383536338806
8f070aee-5278-4ddf-82dd-aee53f42ac69,65+,1.25,True,1.25,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,98.14892196655273,924.0901470184326
f20bddb7-d737-41c9-b73e-b84cf18858c4,18-49,1.0,True,1.25,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,901.812255859375,583.6024613380432
c935b959-5004-4967-b69f-41699f465077,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,28.904998779296875,955.9469299316406
3164f551-1a9a-43a8-b739-4455f5f8daf9,18-49,1.0,False,1.0,low,0.75,rural,1.0,independent,1.0,False,1.0,False,False,0,S,0,0,0,580.6866340637207,50.350921630859375
07db2e24-529b-4260-9ac1-acee2dca0ec8,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,807.8686218261719,620.0147705078125
fc66b324-1791-4bab-a5ae-0f7c389eabe7,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,428.1270503997803,978.0834350585938
0ee32f64-2aea-446f-9a54-3fddabdffbdd,65+,1.25,False,1.0,low,0.75,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,571.6751861572266,834.0268402099609
98f514d1-711e-4cdc-a383-38a3bafb7563,0-17,0.75,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,320.02040100097656,726.0514297485352
94cfa326-877d-4240-aada-89c860bc5b6c,0-17,0.75,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,334.6146697998047,525.9442443847656
3f409e41-4e17-416b-9dd2-d1f9cf8e4866,50-64,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,265.5364532470703,424.95509338378906
