run,t,S,I,R,V
0,0,386,611,0,3
0,1,0,997,0,3
0,2,0,997,0,3
0,3,0,997,0,3
0,4,0,997,0,3
0,5,0,997,0,3
0,6,0,997,0,3
0,7,3,997,0,0
0,8,0,1000,0,0
0,9,0,1000,0,0
0,10,0,1000,0,0
0,11,0,1000,0,0
0,12,0,1000,0,0
0,13,0,1000,0,0
0,14,0,389,611,0
0,15,0,3,997,0
0,16,0,3,997,0
0,17,0,3,997,0
0,18,0,3,997,0
0,19,0,3,997,0
0,20,0,3,997,0
0,21,0,3,997,0
0,22,0,0,1000,0
0,23,0,0,1000,0
0,24,0,0,1000,0
0,25,0,0,1000,0
0,26,0,0,1000,0
0,27,0,0,1000,0
0,28,0,0,1000,0
0,29,0,0,1000,0
0,30,0,0,1000,0
0,31,0,0,1000,0
0,32,0,0,1000,0
0,33,0,0,1000,0
0,34,0,0,1000,0
0,35,609,0,389,2
0,36,987,0,3,10
0,37,980,0,3,17
0,38,977,0,3,20
0,39,975,0,3,22
0,40,971,0,3,26
0,41,966,0,3,31
0,42,963,0,3,34
0,43,971,0,0,29
0,44,973,0,0,27
0,45,971,0,0,29
0,46,963,0,0,37
0,47,965,0,0,35
0,48,959,0,0,41
0,49,958,0,0,42
0,50,956,0,0,44
0,51,954,0,0,46
0,52,953,0,0,47
0,53,959,0,0,41
0,54,957,0,0,43
0,55,961,0,0,39
0,56,962,0,0,38
0,57,961,0,0,39
0,58,964,0,0,36
0,59,962,0,0,38
0,60,963,0,0,37
0,61,962,0,0,38
0,62,966,0,0,34
0,63,966,0,0,34
0,64,969,0,0,31
0,65,966,0,0,34
0,66,969,0,0,31
0,67,966,0,0,34
0,68,966,0,0,34
0,69,965,0,0,35
0,70,967,0,0,33
0,71,966,0,0,34
0,72,968,0,0,32
0,73,969,0,0,31
0,74,966,0,0,34
0,75,970,0,0,30
0,76,967,0,0,33
0,77,969,0,0,31
0,78,969,0,0,31
0,79,970,0,0,30
0,80,970,0,0,30
0,81,974,0,0,26
0,82,973,0,0,27
0,83,971,0,0,29
0,84,970,0,0,30
0,85,968,0,0,32
0,86,965,0,0,35
0,87,965,0,0,35
0,88,966,0,0,34
0,89,961,0,0,39
0,90,961,0,0,39
0,91,958,0,0,42
0,92,960,0,0,40
0,93,961,0,0,39
0,94,960,0,0,40
0,95,962,0,0,38
0,96,966,0,0,34
0,97,971,0,0,29
0,98,967,0,0,33
0,99,965,0,0,35
1,0,283,715,0,2
1,1,0,998,0,2
1,2,0,998,0,2
1,3,0,998,0,2
1,4,0,998,0,2
1,5,0,998,0,2
1,6,0,998,0,2
1,7,2,998,0,0
1,8,0,1000,0,0
1,9,0,1000,0,0
1,10,0,1000,0,0
1,11,0,1000,0,0
1,12,0,1000,0,0
1,13,0,1000,0,0
1,14,0,285,715,0
1,15,0,2,998,0
1,16,0,2,998,0
1,17,0,2,998,0
1,18,0,2,998,0
1,19,0,2,998,0
1,20,0,2,998,0
1,21,0,2,998,0
1,22,0,0,1000,0
1,23,0,0,1000,0
1,24,0,0,1000,0
1,25,0,0,1000,0
1,26,0,0,1000,0
1,27,0,0,1000,0
1,28,0,0,1000,0
1,29,0,0,1000,0
1,30,0,0,1000,0
1,31,0,0,1000,0
1,32,0,0,1000,0
1,33,0,0,1000,0
1,34,0,0,1000,0
1,35,713,0,285,2
1,36,986,0,2,12
1,37,982,0,2,16
1,38,976,0,2,22
1,39,972,0,2,26
1,40,968,0,2,30
1,41,965,0,2,33
1,42,961,0,2,37
1,43,966,0,0,34
1,44,964,0,0,36
1,45,967,0,0,33
1,46,963,0,0,37
1,47,964,0,0,36
1,48,964,0,0,36
1,49,967,0,0,33
1,50,970,0,0,30
1,51,975,0,0,25
1,52,974,0,0,26
1,53,979,0,0,21
1,54,974,0,0,26
1,55,972,0,0,28
1,56,975,0,0,25
1,57,975,0,0,25
1,58,975,0,0,25
1,59,977,0,0,23
1,60,975,0,0,25
1,61,980,0,0,20
1,62,983,0,0,17
1,63,978,0,0,22
1,64,980,0,0,20
1,65,977,0,0,23
1,66,975,0,0,25
1,67,976,0,0,24
1,68,970,0,0,30
1,69,964,0,0,36
1,70,962,0,0,38
1,71,954,0,0,46
1,72,957,0,0,43
1,73,954,0,0,46
1,74,955,0,0,45
1,75,958,0,0,42
1,76,961,0,0,39
1,77,963,0,0,37
1,78,969,0,0,31
1,79,965,0,0,35
1,80,969,0,0,31
1,81,970,0,0,30
1,82,973,0,0,27
1,83,973,0,0,27
1,84,976,0,0,24
1,85,977,0,0,23
1,86,980,0,0,20
1,87,976,0,0,24
1,88,973,0,0,27
1,89,968,0,0,32
1,90,968,0,0,32
1,91,967,0,0,33
1,92,963,0,0,37
1,93,959,0,0,41
1,94,960,0,0,40
1,95,962,0,0,38
1,96,962,0,0,38
1,97,963,0,0,37
1,98,966,0,0,34
1,99,969,0,0,31
2,0,275,722,0,3
2,1,0,997,0,3
2,2,0,997,0,3
2,3,0,997,0,3
2,4,0,997,0,3
2,5,0,997,0,3
2,6,0,997,0,3
2,7,3,997,0,0
2,8,0,1000,0,0
2,9,0,1000,0,0
2,10,0,1000,0,0
2,11,0,1000,0,0
2,12,0,1000,0,0
2,13,0,1000,0,0
2,14,0,278,722,0
2,15,0,3,997,0
2,16,0,3,997,0
2,17,0,3,997,0
2,18,0,3,997,0
2,19,0,3,997,0
2,20,0,3,997,0
2,21,0,3,997,0
2,22,0,0,1000,0
2,23,0,0,1000,0
2,24,0,0,1000,0
2,25,0,0,1000,0
2,26,0,0,1000,0
2,27,0,0,1000,0
2,28,0,0,1000,0
2,29,0,0,1000,0
2,30,0,0,1000,0
2,31,0,0,1000,0
2,32,0,0,1000,0
2,33,0,0,1000,0
2,34,0,0,1000,0
2,35,718,0,278,4
2,36,991,0,3,6
2,37,985,0,3,12
2,38,979,0,3,18
2,39,976,0,3,21
2,40,969,0,3,28
2,41,965,0,3,32
2,42,963,0,3,34
2,43,964,0,0,36
2,44,966,0,0,34
2,45,966,0,0,34
2,46,967,0,0,33
2,47,970,0,0,30
2,48,968,0,0,32
2,49,967,0,0,33
2,50,962,0,0,38
2,51,963,0,0,37
2,52,967,0,0,33
2,53,967,0,0,33
2,54,970,0,0,30
2,55,972,0,0,28
2,56,973,0,0,27
2,57,977,0,0,23
2,58,978,0,0,22
2,59,972,0,0,28
2,60,966,0,0,34
2,61,962,0,0,38
2,62,963,0,0,37
2,63,962,0,0,38
2,64,963,0,0,37
2,65,958,0,0,42
2,66,963,0,0,37
2,67,967,0,0,33
2,68,964,0,0,36
2,69,965,0,0,35
2,70,970,0,0,30
2,71,962,0,0,38
2,72,967,0,0,33
2,73,965,0,0,35
2,74,966,0,0,34
2,75,970,0,0,30
2,76,969,0,0,31
2,77,966,0,0,34
2,78,978,0,0,22
2,79,971,0,0,29
2,80,973,0,0,27
2,81,970,0,0,30
2,82,968,0,0,32
2,83,967,0,0,33
2,84,969,0,0,31
2,85,964,0,0,36
2,86,968,0,0,32
2,87,965,0,0,35
2,88,964,0,0,36
2,89,969,0,0,31
2,90,970,0,0,30
2,91,966,0,0,34
2,92,967,0,0,33
2,93,968,0,0,32
2,94,965,0,0,35
2,95,964,0,0,36
2,96,955,0,0,45
2,97,951,0,0,49
2,98,956,0,0,44
2,99,957,0,0,43
3,0,355,643,0,2
3,1,0,998,0,2
3,2,0,998,0,2
3,3,0,998,0,2
3,4,0,998,0,2
3,5,0,998,0,2
3,6,0,998,0,2
3,7,2,998,0,0
3,8,0,1000,0,0
3,9,0,1000,0,0
3,10,0,1000,0,0
3,11,0,1000,0,0
3,12,0,1000,0,0
3,13,0,1000,0,0
3,14,0,357,643,0
3,15,0,2,998,0
3,16,0,2,998,0
3,17,0,2,998,0
3,18,0,2,998,0
3,19,0,2,998,0
3,20,0,2,998,0
3,21,0,2,998,0
3,22,0,0,1000,0
3,23,0,0,1000,0
3,24,0,0,1000,0
3,25,0,0,1000,0
3,26,0,0,1000,0
3,27,0,0,1000,0
3,28,0,0,1000,0
3,29,0,0,1000,0
3,30,0,0,1000,0
3,31,0,0,1000,0
3,32,0,0,1000,0
3,33,0,0,1000,0
3,34,0,0,1000,0
3,35,641,0,357,2
3,36,989,0,2,9
3,37,985,0,2,13
3,38,984,0,2,14
3,39,983,0,2,15
3,40,980,0,2,18
3,41,974,0,2,24
3,42,968,0,2,30
3,43,976,0,0,24
3,44,975,0,0,25
3,45,975,0,0,25
3,46,971,0,0,29
3,47,970,0,0,30
3,48,974,0,0,26
3,49,977,0,0,23
3,50,975,0,0,25
3,51,977,0,0,23
3,52,972,0,0,28
3,53,973,0,0,27
3,54,970,0,0,30
3,55,968,0,0,32
3,56,967,0,0,33
3,57,963,0,0,37
3,58,964,0,0,36
3,59,964,0,0,36
3,60,962,0,0,38
3,61,963,0,0,37
3,62,964,0,0,36
3,63,966,0,0,34
3,64,971,0,0,29
3,65,965,0,0,35
3,66,969,0,0,31
3,67,969,0,0,31
3,68,968,0,0,32
3,69,970,0,0,30
3,70,969,0,0,31
3,71,967,0,0,33
3,72,971,0,0,29
3,73,969,0,0,31
3,74,972,0,0,28
3,75,975,0,0,25
3,76,971,0,0,29
3,77,972,0,0,28
3,78,971,0,0,29
3,79,973,0,0,27
3,80,973,0,0,27
3,81,970,0,0,30
3,82,965,0,0,35
3,83,966,0,0,34
3,84,968,0,0,32
3,85,969,0,0,31
3,86,967,0,0,33
3,87,967,0,0,33
3,88,971,0,0,29
3,89,973,0,0,27
3,90,971,0,0,29
3,91,972,0,0,28
3,92,970,0,0,30
3,93,970,0,0,30
3,94,968,0,0,32
3,95,968,0,0,32
3,96,973,0,0,27
3,97,975,0,0,25
3,98,973,0,0,27
3,99,972,0,0,28
4,0,72,928,0,0
4,1,0,1000,0,0
4,2,0,1000,0,0
4,3,0,1000,0,0
4,4,0,1000,0,0
4,5,0,1000,0,0
4,6,0,1000,0,0
4,7,0,1000,0,0
4,8,0,1000,0,0
4,9,0,1000,0,0
4,10,0,1000,0,0
4,11,0,1000,0,0
4,12,0,1000,0,0
4,13,0,1000,0,0
4,14,0,72,928,0
4,15,0,0,1000,0
4,16,0,0,1000,0
4,17,0,0,1000,0
4,18,0,0,1000,0
4,19,0,0,1000,0
