static.guid,static.age,static.ageRiskMultiplier,static.comorbidity,static.comorbidityRiskMultiplier,static.socialActivity,static.socialActivityRiskMultiplier,static.geography,static.geographyRiskMultiplier,static.mobility,static.mobilityRiskMultiplier,static.vaccineAcceptance,static.vaccineAcceptanceRiskMultiplier,dynamic.vaccineStatus,dynamic.proactiveVaccine,dynamic.numberOfInfections,dynamic.sirvStatus,dynamic.infectedDays,dynamic.vaccinatedDays,dynamic.recoveredDays,dynamic.currentLocation.xcor,dynamic.currentLocation.ycor
79e66fc3-b19d-48a3-998d-869099ab2a86,18-49,1.0,False,1.0,low,0.75,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
dcfc4197-0875-4221-8142-a183ed0b26fc,18-49,1.0,True,1.25,medium,1.0,rural,1.0,independent,1.0,False,1.0,False,False,0,S,0,0,0,0.0,0.0
462128de-67ef-4737-a5e4-774cd1f7e82a,18-49,1.0,True,1.25,medium,1.0,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
d3a05078-c3be-4bbf-ae34-c9fbeeccbea2,50-64,1.0,True,1.25,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
cb2c1f91-3b66-4af5-81e4-c04cd03d3786,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
21630fbc-a9a6-4891-a095-1dbf8ad26745,50-64,1.0,False,1.0,low,0.75,urban,1.25,assisted,1.0,False,1.0,False,False,0,S,0,0,0,0.0,0.0
af4563cb-3fe0-412d-9407-1c9f1680c688,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
76712fc9-348e-4ac9-914f-30cfdb97de37,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
cba08018-beab-4667-b3ec-feff78fa3eb5,0-17,0.75,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
057734a8-a66e-4143-ae6d-42c1ddbd5679,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
0b08da92-930a-489a-a986-7c162f762ae9,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
a53b0403-a5fd-4d07-8b5d-174b79d3e050,18-49,1.0,True,1.25,low,0.75,urban,1.25,assisted,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
53e996e9-7ea9-452c-8dcd-8ff416244b0f,50-64,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
21044a50-937c-4ccd-8425-0be049138b7e,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
7b29dde5-3a13-45e7-b5ad-7dca47166614,0-17,0.75,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
d92c8617-6af4-4e74-af96-0b591a348bb4,0-17,0.75,True,1.25,low,0.75,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
209759ea-52f5-4b76-be2d-76296b8ba4f6,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
529ddfe8-6317-47f7-b5c9-91374f27bbdb,50-64,1.0,True,1.25,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
b4e4a098-a11b-4fd4-8e0d-d21c32c25285,18-49,1.0,False,1.0,high,1.25,urban,1.25,assisted,1.0,False,1.0,False,False,0,S,0,0,0,0.0,0.0
4ef09511-4093-46cf-8779-20a5261cb7ad,0-17,0.75,False,1.0,high,1.25,urban,1.25,assisted,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
d59af3cd-b6f1-4586-8b04-59a243ffd975,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
6d25c136-faf8-4c86-bf3b-bf4c24aa6e1c,65+,1.25,True,1.25,medium,1.0,urban,1.25,independent,1.0,False,1.0,False,False,0,S,0,0,0,0.0,0.0
b6fa7408-86d8-4efe-a169-0d3e28005e5f,50-64,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
d69d2944-641c-4ef5-8e4b-88c6bee0cf27,65+,1.25,False,1.0,high,1.25,urban,1.25,assisted,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
a6a724a2-a6cc-4731-9dd6-1c91956d3f17,18-49,1.0,True,1.25,low,0.75,urban,1.25,independent,1.0,False,1.0,False,False,0,S,0,0,0,0.0,0.0
d1ef259e-4fb5-4458-b093-a64cf961bbd4,50-64,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
9abb99ae-190b-4eb9-bf13-06382f0edccb,0-17,0.75,True,1.25,medium,1.0,rural,1.0,immobile,0.75,True,0.75,False,False,0,S,0,0,0,0.0,0.0
328c3fbd-12e0-4da2-b90a-a691042bb052,50-64,1.0,False,1.0,medium,1.0,urban,1.25,assisted,1.0,False,1.0,False,False,0,S,0,0,0,0.0,0.0
69b93f1d-1f80-4567-8e99-29a4d4376303,50-64,1.0,False,1.0,low,0.75,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
46d2725d-c7c9-4cb9-8dde-05510a744b7c,0-17,0.75,False,1.0,high,1.25,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
3477b300-763b-4aba-afe4-e8b4d9635cef,0-17,0.75,True,1.25,high,1.25,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.0,0.0
