static.guid,static.age,static.ageRiskMultiplier,static.comorbidity,static.comorbidityRiskMultiplier,static.socialActivity,static.socialActivityRiskMultiplier,static.geography,static.geographyRiskMultiplier,static.mobility,static.mobilityRiskMultiplier,static.vaccineAcceptance,static.vaccineAcceptanceRiskMultiplier,dynamic.vaccineStatus,dynamic.proactiveVaccine,dynamic.numberOfInfections,dynamic.sirvStatus,dynamic.infectedDays,dynamic.vaccinatedDays,dynamic.recoveredDays,dynamic.currentLocation.xcor,dynamic.currentLocation.ycor
48c338c5-1fc4-4b6b-83d6-44e2224bd4ec,18-49,1.0,False,1.0,low,0.75,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,43.297534513541166,43.54473758665404
cdeea988-f536-4754-8313-6d617913dee9,18-49,1.0,True,1.25,medium,1.0,rural,1.0,independent,1.0,False,1.0,False,False,0,S,0,0,0,1.2637284581291104,1.2050094274126717
3b241fdf-b378-453c-9c78-fc9e04ebc3d2,18-49,1.0,True,1.25,medium,1.0,rural,1.0,independent,1.0,True,0.75,False,False,0,S,0,0,0,43.850697812036714,0.7178793939051659
116be8e0-8be9-4131-b79f-33c3825ab85a,50-64,1.0,True,1.25,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,44.4621863150614,42.03508675662501
25755bc4-f4bd-4d95-9f64-bb4f79bfe82a,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,44.646016242985276,42.85609910216125
eadf067a-03be-427f-947e-92ff7dbd508d,50-64,1.0,False,1.0,low,0.75,urban,1.25,assisted,1.0,False,1.0,False,False,0,S,0,0,0,43.980474897910184,44.50392521916627
2e5a1f54-be2d-44e9-bb7e-0610ddedd13d,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,43.35356684821285,43.37857918295823
f0bc0d91-029c-4f97-98d9-da15fb83f627,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.6488928021930399,1.2363805706513902
9855f21c-0f28-46de-9f17-a76dd02862d0,0-17,0.75,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,0.361058113054895,0.18953464857991598
67b1cfb4-ad57-4785-94c3-3c4f7c1e6ceb,18-49,1.0,False,1.0,high,1.25,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,42.76849648698361,0.5801955409606447
f0a969fb-9e98-49cc-a9c0-2a6f9830d118,18-49,1.0,False,1.0,medium,1.0,urban,1.25,independent,1.0,True,0.75,False,False,0,S,0,0,0,2.347409654378852,0.9510851428880995
